hexID,LAT,LON,kingdom,species,Year
119998,45.82209,4.8426,Plantae,Impatiens balfourii,2013
119998,45.8704,4.6414,Plantae,Impatiens parviflora,2013
119674,46.02442,4.38728,Plantae,Scutellaria minor,2013
119837,46.12397,4.40211,Plantae,Hesperocodon hederaceus,2013
119674,46.02442,4.38728,Plantae,Gymnocarpium dryopteris,2013
119837,46.12397,4.40211,Plantae,Dactylorhiza maculata,2013
108781,11.47951,-12.37956,Plantae,Scoparia dulcis,2010
108781,11.48219,-12.3866,Plantae,Xylopia aethiopica,2010
108781,11.47986,-12.37901,Plantae,Citrus medica,2010
108781,11.47986,-12.37901,Plantae,Strophanthus sarmentosus,2010
108942,11.33296,-12.29348,Plantae,Senna alata,2010
108781,11.4796,-12.3791,Plantae,Lippia multiflora,2010
108942,11.40325,-12.39751,Plantae,Psorospermum guineense,2010
108781,11.42282,-12.39751,Plantae,Parinari curatellifolia,2010
108942,11.33331,-12.29435,Plantae,Erythrina L.,2010
108942,11.31949,-12.28801,Plantae,Khaya senegalensis,2010
108942,11.33297,-12.29352,Plantae,Neocarya macrophylla,2010
108942,11.33446,-12.29174,Plantae,Parinari excelsa,2010
108942,11.33232,-12.29442,Plantae,Carissa spinarum,2010
108942,11.32372,-12.3011,Plantae,Jatropha curcas,2010
108942,11.33853,-12.29349,Plantae,Gardenia erubescens,2010
108781,11.45063,-12.40855,Plantae,Xylopia parviflora,2010
108942,11.32273,-12.30111,Plantae,Polyscias guilfoylei,2010
108781,11.46376,-12.42426,Plantae,Englerodendron explicans,2010
108781,11.44442,-12.40399,Plantae,Newbouldia laevis,2010
108781,11.45158,-12.4103,Plantae,Ficus laurifolia,2010
108781,11.4504,-12.40859,Plantae,Combretum paniculatum,2010
108781,11.43247,-12.38589,Plantae,Terminalia albida,2010
108781,11.4403,-12.39643,Plantae,Senna occidentalis,2010
108781,11.4334,-12.38432,Plantae,Gloriosa simplex,2010
108781,11.43263,-12.38594,Plantae,Daniellia oliveri,2010
108781,11.44399,-12.39408,Plantae,Nauclea pobeguinii,2010
108781,11.43317,-12.39233,Plantae,Cassia L.,2010
108781,11.4425,-12.39559,Plantae,Cussonia arborea,2010
108781,11.4441,-12.39354,Plantae,Vitex madiensis,2010
108781,11.44011,-12.40322,Plantae,Vernonia Schreb.,2010
108942,11.32134,-12.30042,Plantae,Carica papaya,2010
108781,11.47908,-12.38021,Plantae,Annona senegalensis,2010
108781,11.47968,-12.38017,Plantae,Aframomum alboviolaceum,2010
108942,11.32127,-12.30048,Plantae,Persea americana,2010
108781,11.47968,-12.3803,Plantae,Mussaenda erythrophylla,2010
108781,11.47924,-12.3803,Plantae,Zanthoxylum leprieurii,2010
108781,11.47963,-12.38041,Plantae,Asparagus africanus,2010
108781,11.47927,-12.38035,Plantae,Leptactina senegambica,2010
108781,11.47917,-12.37478,Plantae,Markhamia tomentosa,2010
108942,11.32147,-12.30023,Plantae,Musa paradisiaca,2010
108942,11.32126,-12.30025,Plantae,Psidium guayana,2010
108942,11.32172,-12.30096,Plantae,Liliaceae,2010
108942,11.32117,-12.30026,Plantae,Citrus aurantium,2010
108942,11.32129,-12.30032,Plantae,Ocimum gratissimum,2010
108942,11.32131,-12.3002,Plantae,Citrus reticulata,2010
108781,11.4793,-12.37406,Plantae,Dialium guineense,2010
108781,11.4793,-12.37486,Plantae,Landolphia hirsuta,2010
108781,11.47907,-12.37485,Plantae,Ximenia americana,2010
108781,11.47866,-12.37497,Plantae,Alchornea cordifolia,2010
108781,11.47897,-12.37476,Plantae,Albizia gummifera,2010
108781,11.47844,-12.37506,Plantae,Smilax anceps,2010
108781,11.47866,-12.37497,Plantae,Carapa procera,2010
108781,11.47832,-12.37508,Plantae,Ficus L.,2010
108781,11.47832,-12.37507,Plantae,Zingiber officinale,2010
108781,11.47804,-12.3746,Plantae,Parkia timoriana,2010
108781,11.47799,-12.37449,Plantae,Erythrina senegalensis,2010
108781,11.47804,-12.3746,Plantae,Holarrhena floribunda,2010
108781,11.47775,-12.37442,Plantae,Cola nitida,2010
108781,11.47783,-12.37447,Plantae,Rauvolfia vomitoria,2010
108781,11.47739,-12.37426,Plantae,Piliostigma thonningii,2010
108781,11.47747,-12.37424,Plantae,Ficus L.,2010
108781,11.47657,-12.37407,Plantae,Craterispermum laurinum,2010
108781,11.47739,-12.37426,Plantae,Opilia amentacea,2010
108781,11.47657,-12.37407,Plantae,Syzygium guineense,2010
108781,11.47646,-12.37396,Plantae,"Erythrophlaeum Rchb., 1828",2010
108781,11.47646,-12.37396,Plantae,Hymenocardia acida,2010
108781,11.47665,-12.37558,Plantae,Mitragyna stipulosa,2010
108781,11.47665,-12.37558,Plantae,Cyperus maculatus,2010
108781,11.47714,-12.37543,Plantae,Gossypium barbadense,2010
108781,11.47672,-12.37559,Plantae,Milicia regia,2010
108781,11.47746,-12.37403,Plantae,Psorospermum febrifugum,2010
108781,11.477,-12.375,Plantae,Ficus trichopoda,2010
108781,11.47789,-12.37424,Plantae,Anthocleista djalonensis,2010
108781,11.47741,-12.37372,Plantae,Lophira lanceolata,2010
108781,11.47908,-12.37925,Plantae,Garcinia afzelii,2010
108781,11.47901,-12.38033,Plantae,Dichaetanthera africana,2010
108781,11.47939,-12.3799,Plantae,Ficus glumosa,2010
108781,11.47939,-12.37992,Plantae,Uvaria chamae,2010
108781,11.47926,-12.38017,Plantae,Uvaria thomasii,2010
108781,11.47908,-12.38026,Plantae,Erythrina sigmoidea,2010
114967,37.898,-3.028,Plantae,Poterium verrucosum,1983
113994,36.952,-4.432,Plantae,Pyrus bourgaeana,2007
115942,40.32,-1.29,Plantae,Eryngium campestre,1974
114318,36.876,-3.971,Plantae,Poterium verrucosum,2003
113183,36.09502,-5.80187,Plantae,Cistus ladanifer,2009
114318,36.7877,-3.85056,Plantae,Centranthus macrosiphon,1986
114318,36.814,-3.846,Plantae,Helianthemum cinereum,2004
112705,43.01,-6.36,Plantae,Helianthemum apenninum,1994
113346,36.527,-5.586,Plantae,Scorpiurus vermiculatus,1985
114318,36.7877,-3.85056,Plantae,Centranthus macrosiphon,1986
113994,36.73042,-4.3947,Plantae,Pandorea jasminoides,1985
113346,36.745,-5.526,Plantae,Scorpiurus vermiculatus,1998
113994,36.616,-4.661,Plantae,Anarrhinum laxiflorum,1994
113670,36.9223,-4.78976,Plantae,Valantia hispida,1978
113507,36.524,-5.273,Plantae,Erica umbellata,2001
113346,36.972,-5.421,Plantae,Chaenorhinum rubrifolium,2013
113832,36.966,-4.747,Plantae,Onopordum macracanthum,2005
114318,36.787,-3.801,Plantae,Rhamnus lycioides,2004
114156,36.989,-4.32,Plantae,Carex otrubae,2013
113994,36.70323,-4.63555,Plantae,Ephedra fragilis,2011
113510,39.05,-5.25,Plantae,Festuca ampla,2001
114318,36.885,-3.948,Plantae,Rubus ulmifolius,2003
113670,36.646,-5.053,Plantae,Schoenus nigricans,1987
113670,36.682,-5.043,Plantae,Cistus ladanifer,1990
113507,36.431001,-5.323376,Plantae,Anthemis arvensis,2010
113670,36.951,-5.106,Plantae,Crataegus granatensis,2012
113994,36.71217,-4.59105,Plantae,Bellis sylvestris,2011
114318,36.89605,-3.99731,Plantae,Hedera hibernica,2012
114318,36.73365,-4.11989,Plantae,Herniaria cinerea,1990
113994,36.881,-4.352,Plantae,Noccaea perfoliata,
113507,36.467,-5.427,Plantae,Rosa sempervirens,1997
114318,36.93,-3.881,Plantae,Lythrum salicaria,2003
113832,36.94015,-4.71984,Plantae,Salvia argentea,2013
113507,36.189,-5.363,Plantae,Fuirena pubescens,2002
113994,36.643,-4.616,Plantae,Convolvulus L.,1991
114318,36.9066,-4.02933,Plantae,Elymus panormitanus,2014
113346,36.897,-5.564,Plantae,Arenaria retusa,2008
114318,36.814,-3.846,Plantae,Galium L.,2004
113507,36.524,-5.273,Plantae,Ceratonia siliqua,2000
113507,36.53,-5.18,Plantae,Centaurea haenseleri,1979
113507,36.434897,-5.319075,Plantae,Anethum ridolfia,2009
113670,36.691,-5.043,Plantae,Helictotrichon filifolium,1997
114318,36.875,-4.038,Plantae,Teucrium fruticans,2003
115614,36.8536,-2.0538,Plantae,Mesembryanthemum nodiflorum,2008
113994,36.74917,-4.42141,Plantae,Andryala integrifolia,1992
113994,36.763,-4.417,Plantae,Thymelaea hirsuta,
113670,36.672,-5.098,Plantae,Fumana ericifolia,1997
113994,36.96,-4.556,Plantae,Hordeum bulbosum,2005
114318,36.78854,-3.83409,Plantae,Buxus balearica,1992
114156,36.972,-4.241,Plantae,Biscutella variegata,2006
113994,36.72085,-4.41485,Plantae,Brugmansia candida,1984
113994,36.63,-4.62,Plantae,Nerium oleander,1974
113347,37.764,-5.492,Plantae,Gaudinia fragilis,2005
114318,36.831,-3.914,Plantae,Leobordea lupinifolia,2003
113994,36.69943,-4.62754,Plantae,Filago ramosissima,2011
113994,36.78292,-4.43407,Plantae,Lavandula multifida,1973
112860,37.218,-6.301,Plantae,Glossopappus macrotus,2001
113994,36.9674,-4.54364,Plantae,Bromus hordeaceus,1990
113832,37.08,-4.63,Plantae,Salvia L.,1986
112542,42.1654,-6.7356,Plantae,Festuca summilusitana,2014
114318,36.91,-4.18,Plantae,Populus nigra,1975
114318,36.911,-4.106,Plantae,Cynoglossum creticum,2003
114318,36.911,-4.106,Plantae,Cynoglossum creticum,2003
113832,37.004,-4.602,Plantae,Pulicaria dysenterica,1994
113832,37.08,-4.63,Plantae,Anthemis L.,1988
114318,36.886,-3.814,Plantae,Thesium humifusum,1985
113507,36.295,-5.478,Plantae,Glandora prostrata,1985
113994,36.71869,-4.43328,Plantae,Phytolacca dioica,1985
114966,37.0464,-2.9997,Plantae,Enneapogon persicus,2007
114318,36.904,-3.859,Plantae,Juncus inflexus,2003
